"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"AR","Newton",43.854441,0.632591,1.095938,12.8,34.2,0,24.2,33679
"AR","Ouachita",25.868573,0.362494,1.053402,14.8,34.8,0.120831,22.8,37987
"AR","Perry",14.272346,0.390434,1.053402,12.2,37.5,0,16.8,43020
"AR","Phillips",50.377336,0.451581,0.970305,16.7,45.5,0.050176,37.3,28224
"AR","Pike",23.05732,0.725689,1.053402,12.4,37.8,0,18.5,36266
"AR","Poinsett",34.024031,0.536171,0.970305,13.8,38.4,0,23.9,32756
"AR","Polk",38.426038,0.939431,1.053402,13.9,36.7,0.049444,24.4,34723
"AR","Pope",13.593735,0.537966,1.053402,11.2,32.1,0.142403,20.8,41074
"AR","Prairie",37.028842,0.481696,1.053402,14.3,36.3,0,19.6,39518
"AR","Pulaski",26.607392,0.883622,1.053402,12,31.7,0.109498,19.4,46473
"AR","Randolph",32.070091,0.56912,0.970305,12.7,35.3,0.170736,17.6,34730
"AR","Saline",22.324258,0.337023,1.053402,11.8,32.5,0.103699,10.7,56926
"AR","Scott",17.295982,0.467596,1.053402,11.4,32.5,0,20.8,36028
"AR","Searcy",33.643838,0.378358,1.053402,13.4,35,0,22.2,30427
"AR","Sebastian",10.274246,0.788793,1.053402,12.9,36.9,0.110431,22.1,41452
"AR","Sevier",23.459168,0.631241,1.095938,12.2,36.7,0.057385,20.8,41848
"AR","Sharp",22.465225,1.00556,0.970305,15.2,37.3,0.059151,24.6,32095
"AR","St. Francis",27.108205,0.446113,0.970305,16.4,42.5,0,30.7,31625
"AR","Stone",25.1405,0.640307,1.053402,12.7,32.6,0,21.5,32023
"AR","Union",26.282671,0.69605,1.095938,13.5,39.4,0.049718,19.7,42195
"AR","Van Buren",10.262684,0.712124,1.053402,12.9,35.6,0.059344,19,38306
"AR","Washington",14.549072,0.874126,1.053402,9.1,30.6,0.113229,16.9,46418
"AR","White",12.263143,0.585301,1.053402,10.1,36.3,0.127239,19.7,42508
"AR","Woodruff",5.258681,0.289436,1.053402,14.7,35.8,0.144718,25.8,31013
"AR","Yell",12.873576,0.22778,1.053402,12.9,37.1,0,17.8,37415
"AZ","Apache",70.537227,0.250599,0.746075,14.4,35.2,0,38,31072
"AZ","Cochise",42.040518,0.753248,0.746075,10.3,26,0.062771,16.9,43451
"AZ","Coconino",30.825209,1.176624,0.746075,7.6,23.2,0.065368,19.5,51955
"AZ","Gila",32.559782,1.035411,0.746075,11.2,27.5,0.018826,21.3,41346
"AZ","Graham",37.330636,0.316147,0.746075,10.3,32.5,0.026346,22.9,44169
"AZ","Greenlee",69.877431,0.748984,0.746075,10.7,34.7,0,10.1,58854
"AZ","La Paz",43.178592,1.482873,0.746075,14.8,32,0,22.2,34835
"AZ","Maricopa",13.392714,0.583286,0.746075,9,25.4,0.078538,16.3,56017
"AZ","Mohave",44.129748,0.63434,0.746075,12.8,29.6,0.068843,17.4,40360
"AZ","Navajo",38.540448,0.721547,0.746075,13.1,30.9,0.018501,28.1,37658
"AZ","Pima",22.288073,0.648073,0.746075,8.8,24.2,0.116474,18.7,47107
"AZ","Pinal",21.492363,0.2712,0.746075,12.3,31.6,0.022393,15.8,50888
"AZ","Santa Cruz",26.536109,0.856623,0.746075,8,23,0.042831,24.4,34893
"AZ","Yavapai",32.505312,0.93674,0.746075,10.5,25.3,0.114237,15.1,47220
"AZ","Yuma",20.319961,0.378849,0.746075,12.6,30.5,0.039361,21.1,40426
"CA","Alameda",7.148677,0.965907,1.122215,8.5,20,0.091873,11.5,81462
"CA","Alpine",48.950008,0.896057,1.032918,10.3,23.4,0,19,50882
"CA","Amador",14.013427,1.088672,1.032918,10.2,25.5,0.108867,13.1,55879
"CA","Butte",21.181065,0.624328,0.996443,10.2,25.9,0.080271,21.4,45369
"CA","Calaveras",10.044894,0.85156,1.032918,10,23.5,0.089638,13,52471
"CA","Colusa",8.268282,0.700313,1.032918,9.6,25.4,0.046687,13.2,51118
"CA","Contra Costa",19.101011,0.676661,1.122215,9.4,25,0.114277,10.2,83036
"CA","Del Norte",32.038236,0.771718,0.996443,8.4,25.5,0,23.3,38963
"CA","El Dorado",29.109709,0.950368,1.032918,7.5,20.6,0.109238,9.1,75575
"CA","Fresno",9.187423,0.529,0.996443,9.4,26.6,0.050726,25.2,46608
"CA","Glenn",9.024179,0.536577,0.996443,8.4,26.7,0,18.5,43584
"CA","Humboldt",15.672567,0.993999,0.996443,8.8,25.5,0.14094,20.9,40739
"CA","Imperial",17.542182,0.435533,0.996443,8.3,26.3,0.067005,24.3,39925
"CA","Inyo",41.128281,1.629549,0.996443,9.4,23.3,0.054318,12.4,51697
"CA","Kern",14.541769,0.500807,0.996443,9.3,30.3,0.048023,21.9,51150
"CA","Kings",19.268507,0.299463,0.996443,7.5,26.4,0.046583,22.4,46440
"CA","Lake",18.738465,0.654369,1.122215,10.1,26.2,0.062321,20.5,37993
