"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc","males","totpop","area"
"PA","Pike",6.255521,0.711858,1.021851,10.5,29.1,0.017796,10.9,60436,28686,57369,544.96
"PA","Potter",17.812555,1.046147,0.869175,12.1,32.4,0,14.3,41754,8724,17457,1081.32
"PA","Schuylkill",7.988164,0.754474,1.147299,11.4,35.1,0.06173,13,45733,75175,148289,778.63
"PA","Snyder",6.910704,0.91759,1.021851,9.9,32.5,0.123999,11.7,49803,19597,39702,328.71
"PA","Somerset",16.01641,0.787216,0.869175,12.5,37.7,0.039361,14.4,43608,40029,77742,1074.37
"PA","Sullivan",30.909652,1.577536,1.021851,13.1,31.1,0,13.5,43844,3307,6428,449.94
"PA","Susquehanna",5.012513,0.596374,1.021851,10.1,30.4,0,12.6,50141,21795,43356,823.44
"PA","Tioga",10.502561,0.969863,1.021851,12,30.3,0.094621,13.1,48186,20573,41981,1133.79
"PA","Union",32.255739,0.802246,1.021851,10.2,28.2,0.111423,12.4,57862,24711,44947,315.98
"PA","Venango",9.121164,0.579125,0.869175,13.2,34.7,0.093407,13.5,44916,26910,54984,674.28
"PA","Warren",14.586365,0.663342,0.869175,12.5,33.6,0.024568,12.2,45362,20827,41815,884.14
"PA","Washington",28.060282,0.634045,0.869175,11.8,28.3,0.110478,10.1,57622,101035,207820,856.99
"PA","Wayne",3.752989,1.303477,1.021851,12.6,33.1,0.077819,13.3,49927,27704,52822,725.6
"PA","Westmoreland",32.411472,0.751419,0.869175,11.8,30,0.114104,11.3,53422,177722,365169,1027.55
"PA","Wyoming",3.054258,0.959795,1.021851,10.8,33.4,0,11.1,51797,14134,28276,397.32
"PA","York",24.360462,0.535445,1.16363,11.3,33.3,0.108904,10.4,58527,214563,434972,904.18
"RI","Bristol",51.085725,1.100693,1.084805,8.8,22.9,0.101916,9.3,75324,23951,49875,24.16
"RI","Kent",28.114537,1.029504,1.084805,9.9,28.8,0.157454,8.7,65332,79969,166158,168.53
"RI","Newport",30.514738,1.590617,1.084805,8.5,23.1,0.121421,11.1,66096,40409,82888,102.39
"RI","Providence",15.379957,0.925671,1.084805,9.9,28.2,0.126587,17.2,50364,302382,626667,409.5
"RI","Washington",32.261685,1.365937,1.084805,9.1,23.9,0.19739,9.9,71951,61689,126979,329.24
"SC","Abbeville",1.106042,0.360505,1.082025,17,35.2,0,19.1,35932,12321,25417,490.48
"SC","Aiken",22.137966,0.58876,1.082025,12.8,31.9,0.084976,18.1,48012,77550,160099,1071.03
"SC","Allendale",16.706595,0.206292,1.082025,19.2,41.1,0,41,27089,5540,10419,408.09
"SC","Anderson",27.74305,0.757222,1.082025,13.2,33.9,0.08817,17.2,44745,90255,187126,715.43
"SC","Bamberg",28.954819,0.26347,1.082025,17,40.3,0.065867,32.7,29642,7605,15987,393.37
"SC","Barnwell",2.271495,0.455394,1.082025,17.3,36.8,0.045539,27.3,33280,10809,22621,548.39
"SC","Beaufort",32.23083,1.580875,1.082025,9.8,22,0.164911,12.9,60071,80089,162233,576.28
"SC","Berkeley",24.088125,0.398577,1.082025,13.5,35,0.035317,13,55876,88729,177843,1098.86
"SC","Calhoun",0.851071,0.134427,1.082025,18.6,35.3,0.067213,21.3,41277,7397,15175,381.15
"SC","Charleston",19.354224,1.385772,1.082025,11.1,24.6,0.144351,14.9,56244,169871,350209,916.09
"SC","Cherokee",14.312962,0.642582,1.082025,14.4,36.5,0.053548,20.3,37098,26860,55342,392.66
"SC","Chester",16.732913,0.556638,1.062503,13.8,36.1,0.030924,25.7,35006,16018,33140,580.66
"SC","Chesterfield",13.287078,0.607046,1.062503,14.8,34.8,0.04336,23.5,36520,22697,46734,799.08
"SC","Clarendon",5.053627,0.469029,1.082025,17.2,42.3,0,25.4,34654,17271,34971,606.94
"SC","Colleton",24.088017,0.608933,1.082025,16.5,39,0.052951,23.1,33745,18747,38892,1056.49
"SC","Darlington",16.378223,0.457234,1.082025,14.6,37.7,0.073747,21.5,36719,32555,68681,561.15
"SC","Dillon",12.056902,0.385517,1.082025,16.5,37.4,0,31.2,31094,15084,32062,404.87
"SC","Dorchester",19.153667,0.437802,1.082025,10.4,33.9,0.040412,13.6,55595,66381,136555,573.23
"SC","Edgefield",8.559178,0.451926,1.082025,14.1,32.7,0,18.9,46430,14568,26985,500.41
"SC","Fairfield",21.569957,0.304666,1.082025,18.6,41.3,0,23,36622,11473,23956,686.28
"SC","Florence",22.11034,0.739778,1.082025,14.1,34.1,0.057459,20.3,41197,64319,136885,799.96
"SC","Georgetown",20.570778,1.431557,1.082025,14.4,30.8,0.049364,19.3,44395,28648,60158,813.55
"SC","Greenville",36.243939,0.880369,1.082025,10.4,28.1,0.136716,13.8,52017,218791,451225,785.12
"SC","Greenwood",17.558179,0.719217,1.082025,13.2,33.5,0.057537,19.1,42240,32654,69661,454.73
"SC","Hampton",17.447184,0.588091,1.082025,15.1,42,0,23.6,30772,10807,21090,559.9
"SC","Horry",14.24048,1.746801,1.082025,11.1,29.8,0.080313,16.7,47083,131691,269291,1133.9
"SC","Jasper",11.459547,0.662495,1.082025,15,37,0,23.2,37231,12905,24777,655.32
"SC","Kershaw",17.236479,0.554139,1.082025,12.6,31.7,0.079163,15.5,48233,30017,61697,726.56
"SC","Lancaster",20.329817,0.517076,1.062503,11.8,31.3,0.07215,14.4,47279,37762,76652,549.16
"SC","Laurens",21.651464,0.465934,1.082025,15,40.8,0.03006,18.9,39731,32298,66537,713.8
"SC","Lee",5.764391,0.272584,1.082025,16.9,44.3,0,28.3,31525,9950,19220,410.18
