"state","county","loaccgro","fasfoo","diab","obesrate","fitplace","medinc","obesrateLevel","clusterNum"
"AR","Searcy",0.336438376635616,0.0272417757820658,0.5,0.64804469273743,0,0.073131662233268,"low",4
"AZ","Cochise",0.420405175795948,0.0542338555661292,0.346534653465347,0.396648044692737,0.0763295750807424,0.199570898782595,"low",4
"AZ","Gila",0.325597816744022,0.0745495914036033,0.391089108910891,0.43854748603352,0.022892427720923,0.179135196008,"low",4
"AZ","Graham",0.373306356266936,0.0227625838178993,0.346534653465347,0.578212290502793,0.0320367524028172,0.206541366522339,"low",4
"AZ","La Paz",0.431785915682141,0.106766855145865,0.569306930693069,0.564245810055866,0,0.115925285905675,"low",4
"AZ","Mohave",0.441297475587025,0.0456724796346202,0.47029702970297,0.497206703910615,0.083713130861123,0.169562938081277,"low",4
"AZ","Navajo",0.385404476145955,0.0519513835843889,0.485148514851485,0.533519553072626,0.0224972275185805,0.143331456420014,"low",4
"AZ","Pinal",0.214923627850764,0.0195263998437888,0.445544554455446,0.553072625698324,0.0272299019417098,0.271770576471274,"low",4
"AZ","Yavapai",0.325053116749469,0.0674452794604378,0.356435643564356,0.377094972067039,0.138912263123079,0.236161000330078,"low",4
"CA","Alpine",0.489500075104999,0.0645161034838712,0.346534653465347,0.324022346368715,0,0.271712327437237,"low",4
"CA","Del Norte",0.320382356796176,0.0555636955554904,0.252475247524753,0.38268156424581,0,0.15600062132303,"low",4
"CA","Inyo",0.411282805887172,0.11732752706138,0.301980198019802,0.32122905027933,0.0660507218179696,0.279624487893909,"low",4
"CA","Lake",0.187384648126154,0.0471145676230835,0.336633663366337,0.402234636871508,0.0757823748005759,0.146583694153739,"low",4
"CA","Lassen",0.490672205093278,0.0340168317278653,0.212871287128713,0.337988826815642,0.153201486439161,0.308486884259169,"low",4
"CA","Modoc",0.265402617345974,0.0638368554893051,0.351485148514852,0.318435754189944,0,0.150554336640584,"low",4
"CA","Sutter",0.333099626669004,0.0330526797355786,0.262376237623762,0.472067039106145,0.126868992956924,0.271013339028794,"low",4
"CA","Tehama",0.200814117991859,0.0388158476894732,0.391089108910891,0.430167597765363,0.0192809058718238,0.168902782362192,"low",4
"CO","Bent",0.258626107413739,0.0255772797953818,0.183168316831683,0.410614525139665,0,0.133351455255034,"low",4
"CO","Otero",0.29620601703794,0.0662050794703594,0.173267326732673,0.421787709497207,0,0.117235889171505,"low",4
"CO","Pueblo",0.368757936312421,0.0573775915409793,0.287128712871287,0.393854748603352,0.0976557939997665,0.171310409102382,"low",4
"CO","Washington",0.516208684837913,0.0301255197589958,0.158415841584158,0.318435754189944,0,0.239772440440363,"low",4
"FL","Baker",0.33127098668729,0.0345476877236185,0.48019801980198,0.670391061452514,0.134647748939647,0.271722035609576,"low",4
"FL","Bay",0.333478306665217,0.0768332873853337,0.391089108910891,0.505586592178771,0.122289534612242,0.241257790808302,"low",4
